,ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE
1,16093,233.73480744808168,23.468395083131767,2.197180864536183,0.16527628384004028,9.558987617492676
2,22558,289.5899791966488,49.60696220308787,4.243280609000192,0.14811883778299084,43.53049850463867
3,17615,207.62468652582336,26.699890795760325,1.977509356508181,0.1439226009563509,6.522733211517334
4,17615,207.61485640001945,26.74965801749441,4.72088478353359,0.40809109511927694,10.60042667388916
5,21831,207.3471871384415,26.584446826043,5.859147728064056,0.42488448932424777,11.657370567321777
6,18927,83.87398106077137,-4.997347956823227,0.2244992878987654,0.13006678604469318,11.87867259979248
7,18715,40.829607970620465,32.323771618990364,8.603091115284416,0.9146591037035913,8.976789474487305
8,20635,356.26458918615276,-42.64493274396772,3.144367640676147,0.06971504260865254,61.822425842285156
9,23103,50.475290029665615,41.246834365744,3.501948580346485,0.228768844780718,10.726057052612305
10,16453,53.07676215957398,-27.87361180501693,4.281364764308791,0.11996669903160279,45.725914001464844
